Applied filters:,Date (Arrival Date) BETWEEN 05/01/2024 AND 04/30/2025
,
Stop Name,Sum of Passenger Alightings
Mountain View EB at Bridge (no number),90.00
Mountain View EB at Byrne (no number),45.00
Mountain View EB at Mountain View Terrace Apartments (no number),50.00
Mountain View WB at Bridge (no number),654.00
Mountain View WB at Byrne (no number),267.00
Mountain View WB at Mountain View Terrace Apartments (no number),593.00
Mt Pleasant EB at Medical Center Driveway (no number),280.00
New Classroom Building (no number),361.00
New Spring Branch SB at Baltimore (no number),133.00
New Spring Branch SB at Tipton (no number),19.00
New Spring Branch SB at Yellow Mountain (no number),29.00
Norfolk EB at Campbell (Valley Metro Admin Bldg.) (no number),"3,508.00"
Ogden NB at Circle Brook (Pebble Creek Apartments) (no number),55.00
Ogden NB at Colonial (no number),53.00
Ogden NB at Honeywood/Windward (Honeywood Apartments) (no number),21.00
Ogden SB at Circle Brook (Pebble Creek Apartments) (no number),907.00
Ogden SB at Colonial (no number),320.00
Ogden SB at Honeywood/Windward (Honeywood Apartments) (no number),63.00
Ogden SB at Leslie (no number),"3,102.00"
Orange at Lynn Brae (no number),175.00
Orange EB at 3 1/2 Street (no number),111.00
Orange EB at 5th (no number),20.00
Orange EB at 8th (no number),104.00
Orange EB at Hickory Woods (no number),564.00
Orange EB at King  (no number),"3,997.00"
Orange EB at Mecca (no number),121.00
Orange EB at Wells Fargo (no number),839.00
Orange EB east of 24th (at BP station) (no number),227.00
Orange WB at 3 1/2 Street (no number),546.00
Orange WB at 5th (no number),318.00
Orange WB at 8th (no number),278.00
Orange WB at Hickory Woods (no number),50.00
Orange WB at King (no number),185.00
Orange WB at Mecca (no number),9.00
Orange WB east of 24th (opposite car wash) (no number),146.00
Patterson EB at 10th (no number),120.00
Patterson EB at 12th (no number),39.00
Patterson EB at 13th (no number),910.00
Patterson EB at 14th (no number),646.00
Patterson EB at 16th (no number),"1,290.00"
Patterson EB at 8th (no number),3.00
Patterson WB at 10th (no number),404.00
Patterson WB at 12th (no number),"1,275.00"
Patterson WB at 14th (no number),113.00
Patterson WB at 16th (no number),46.00
Patterson WB at 18th (no number),73.00
Patterson WB at 7th (no number),"1,496.00"
Perry Street Slip 1 (no number),"13,191.00"
Peters Creek NB at Appleton (no number),702.00
Peters Creek NB at Food Lion Entrance (no number),23.00
Peters Creek NB at Woodbridge (no number),335.00
Plantation NB at 4411 (no number),763.00
Plantation NB at Columbia/Preston (no number),844.00
Plantation NB at Fleming (no number),382.00
Plantation NB at Hollins/John Richardson (Food Lion Driveway) (no number),"2,856.00"
Plantation SB at Columbia/Preston (no number),213.00
Plantation SB at Fleming (no number),55.00
Plantation SB at Frontier (no number),259.00
Plantation SB at Walmart (no number),394.00
Pollard NB at Jackson (no number),"1,563.00"
Pollard NB at Jefferson (no number),831.00
Pollard SB at Cedar (no number),158.00
Pollard SB at Municipal Building (no number),463.00
Pollard SB at Post Office (no number),199.00
Radford University Carilion  (1710),"1,216.00"
Red Rock NB at Brambleton (Shell station) (no number),"5,489.00"
Research Building 26 (no number),440.00
Riverland EB at Garden City (no number),"1,403.00"
Riverland WB at Dollar General (no number),49.00
Riverside Clinic (1708),"1,515.00"
Roanoke -Blacksburg Regional Airport (no number),"1,575.00"
Roanoke Amtrak Station (no number),"2,209.00"
Roanoke Blvd EB at Disabled Veterans Store (no number),1.00
Roanoke Blvd EB at Easton (no number),34.00
Roanoke Blvd EB at General Electric (no number),34.00
Roanoke Blvd EB at McDivitt (Arnold R Burton School) (no number),53.00
Roanoke Blvd NB at 8th (Salem Civic Center) (no number),338.00
Roanoke Blvd NB at General Electric (no number),28.00
Roanoke Blvd WB at Arch (no number),233.00
Roanoke Blvd WB at Disabled Veterans Store (no number),619.00
